annotation,n_cells
Enterocyte-ANPEP-hi,49047
T cells-IL7R-hi,37667
Enterocyte-mito-hi,29658
B cells,27213
Plasma cells-IgA,24147
Enterocyte-FABP-hi,21968
Stem-like cells-OLFM4-hi,21380
Colonocytes-LGALS4-hi,19457
Activated T cells,18662
Goblet cells,16878
Myeloid cells,16560
Colonocytes-CAECAM-hi,14315
Fibroblasts-COL-hi,7183
Plasma cells-IgG,6465
Ribo-hi subset,6013
Cycling B cells,5460
Endothelial cells,4587
Neutrophils,3925
Mast cells,3813
Paneth cells,3521
Fibroblasts-C1R-hi,2086
Tuft cells,1483
Enteroendocrine cells,1107
T cells-AREG-hi,949
Enterocytes-MT-hi,890
Cycling T cells,844
Lymphatic endothelium,839
Pericyte,751
Enterocytes-COX-hi,95
Enterocytes-FTL-hi,43
Enterocytes-FTL-hi2,8
Goblet cells-DEF-hi,3
