annotation2v2,n_cells
Enterocyte-ANPEP-hi,49047
Enterocyte-mito-hi,29658
B cells,27213
Plasma cells-IgA,24147
Enterocyte-FABP-hi,21968
Stem-like cells-OLFM4-hi,21380
Colonocytes-LGALS4-hi,19457
Goblet cells,16878
Colonocytes-CAECAM-hi,14315
CCR7hi CD4 T cells,12754
CD4 T cells,12661
CD8 intraepithelial cells,7751
Plasma cells-IgG,6465
Ribo-hi subset,6013
Regulatory T cells,5720
Cycling B cells,5460
GZMK-hi CD8 T cells,5105
Neutrophils,3925
Mast cells,3813
Paneth cells,3521
Trophocyte,2993
Follicular helper T cells,2643
Intraepithelial Tgd,2592
LP-associated NK-Tgd,2512
Monocyte,2391
CXCR6-hi CD4 T cells,2273
Arterial endothelium,2221
Tissue macrophage,2212
M2-like macrophage,1965
Tissue fibroblast,1882
NAMPThi-Neutrophils,1869
CD63+CD81+ macrophage,1558
Tuft cells,1483
Dendritic cell - cDC2,1405
Venous endothelium,1373
Inflammatory fibroblasts,1368
Monocyte-FPR1-hi,1242
CD69+ CD4 T cells,1162
Telocyte,1140
Enteroendocrine cells,1107
PLGC2-hi T cells,1096
Mito-hi endothelium,978
Enterocytes-MT-hi,890
Trophocyte-TGFBI hi,854
Lymphatic endothelium,843
Cycling T cells,839
Monocyte-IL1B-hi,799
Myofibroblasts,662
ILCs,649
M2-like macrophage-A2M-hi,551
Dendritic cell - cDC1,519
Dendritic cell - CCR7-hi,517
Pericytes,489
Monocyte-HSP-hi,451
GZMB-hi B cell,365
Lyve1 macrophage,299
Monocyte-CCL3-4-hi,285
Contractile pericytes,258
Tissue macrophage-KRT-hi,258
Cycling myeloid,239
Enteric glia,186
Collagen-hi tissue fibroblast,111
Enterocytes-COX-hi,95
SIP syncytium fibroblast,74
Enterocytes-FTL-hi,43
Cycling endothelium,14
Enterocytes-FTL-hi2,8
Goblet cells-DEF-hi,3
