region,gene,n_fractions,mean_difference_across_fractions,min_difference,max_difference,same_sign_all_fractions,mean_positive_patient_fraction
epithelial_bile_region,SLC5A1,3,-0.6553557349590404,-0.8626656108879142,-0.46980122825690884,True,0.375
epithelial_absorptive_region,SLC5A1,3,-0.6545343548248505,-0.8737864956402033,-0.4662848009714486,True,0.375
epithelial_bile_region,SLC10A2,3,-0.526379448963158,-0.6720773081347873,-0.39991552957720944,True,0.25
epithelial_absorptive_region,SLC10A2,3,-0.508443589865447,-0.6465509988367305,-0.3879170087861381,True,0.25
epithelial_bile_region,SLC51A,3,-0.2665683126362241,-0.37707132125318416,-0.18214690998466032,True,0.25
epithelial_absorptive_region,SLC51A,3,-0.261266254433641,-0.3644552185199733,-0.17877844531825787,True,0.20833333333333334
epithelial_bile_region,SLC51B,3,-0.2519385711886124,-0.34214454515894205,-0.1772534363820651,True,0.2916666666666667
epithelial_absorptive_region,SLC51B,3,-0.24417865726888874,-0.3297106669236413,-0.1707876932058729,True,0.3333333333333333
epithelial_bile_region,ABCB1,3,-0.22629378221729954,-0.3159800210761149,-0.15209930289676013,True,0.5
epithelial_bile_region,ABCC3,3,-0.05710537076734168,-0.10543865320768375,-0.016011021667279038,True,0.5416666666666666
immune_inflammatory_region,SLCO2B1,3,0.0446720762908833,0.030944905512124053,0.06929219874995995,True,0.7083333333333334
stromal_fibrotic_region,SLC15A3,3,0.05752550660662483,0.05004796144182702,0.06305128873613915,True,0.7083333333333334
stromal_fibrotic_region,SLCO2B1,3,0.06715654175229761,0.06343478273188943,0.069646483508188,True,0.75
stromal_fibrotic_region,SLC38A2,3,0.08641301044362322,0.04143460801451693,0.11151103008204181,True,0.7083333333333334
