cell_type,mean_paired_fibrotic_minus_adjacent,positive_patient_fraction
B_plasma,0.16367407334736794,0.75
Lymphoid_stromal_cell,0.009474297040620614,0.375
Immature_B,0.006966881290287692,0.625
Monocyte,0.003528117414300024,0.5
Macrophage,0.0028368764837806352,0.5
Granulocyte,0.002576956883912165,0.75
Mature_B,0.002332860788559822,0.625
Conventional_CD8,0.0014292343600598586,0.5
Epithelial_stem,0.00014749054747383597,0.125
Cycling_T/NK,0.00011826840332674791,0.375
Conventional_CD4,0.00011462526371891382,0.625
Cycling_epithelia,4.317929684622359e-05,0.375
NK,2.8792262617136243e-05,0.625
Neuron_progenitor,1.1484409364766767e-05,0.125
Cycling_endothelia,9.793159240254886e-06,0.375
Epithelial_progenitor,0.0,0.0
Mesoderm,-7.535646900069551e-06,0.375
Unconventional_T/ILC,-1.0475513287685066e-05,0.5
Keratinocyte,-1.6956789103275437e-05,0.125
Mesothelium,-1.7323682302607175e-05,0.125
Basal,-3.57570713443444e-05,0.375
Myoblast/myocyte,-4.975567542906282e-05,0.375
Intestinal_Cajal_cell,-8.117632560713874e-05,0.125
Salivary/Submucosal_glands,-9.687895026937015e-05,0.5
DC,-0.00029461213455355426,0.375
Treg,-0.00040948653634638346,0.625
Neuron,-0.0006183635478165777,0.25
Enteroendocrine,-0.0006716961348631337,0.125
Melanocyte,-0.0020449882101569116,0.25
Megakaryocyte/platelet,-0.002198116758463967,0.125
Glia,-0.002413601182730369,0.375
Erythrocyte,-0.002579926259315609,0.125
Transit_amplifying,-0.003847118114860695,0.375
Pericyte,-0.004180933959918503,0.375
Vascular_endothelia,-0.007092897832941656,0.375
Microfold,-0.009208361246680997,0.25
Lymphatic_endothelia,-0.009271792294369785,0.25
Fibroblast,-0.00998488166103793,0.5
Secretory,-0.027674880115028694,0.25
Smooth_muscle,-0.031530004142495724,0.5
Myofibroblast,-0.03298576423399523,0.25
Absorptive,-0.046003276202574744,0.25
